8.46292	0.243462	0	0	8.46292	0.243462	8.6	0.25	-3.00029	0
8.44827	0.251501	-0.246881	0.114847	8.44818	0.251553	8.45	0.25	-3.00027	0
8.43592	0.25725	-0.246881	0.114847	8.56759	0.241943	8.45	0.25	0	0
8.45549	0.254089	0.262556	0.0467658	8.45582	0.253997	8.45	0.25	0	0
8.46992	0.256659	0.262556	0.0467658	8.42544	0.254042	8.35	0.25	-1.81979	0
8.23051	0.248786	3.26779	-0.132503	8.23962	0.24916	8.25	0.25	-1.81978	0
8.39391	0.24216	3.26779	-0.132503	7.93286	0.188391	8.05	0.2	-3.99976	-0.99994
7.83181	0.158917	1.11145	-1.08505	7.84073	0.159858	7.85	0.15	-3.99972	-0.99993
7.88739	0.104662	1.11145	-1.08505	7.61269	0.155818	7.7	0.15	-2.99982	0
7.53193	0.161874	1.75278	0.505323	7.54016	0.159641	7.55	0.15	-2.99982	0
7.62842	0.189692	1.75278	0.505323	7.50815	0.0953827	7.45	0.100001	-1.8165	-0.908239
7.33758	0.0321295	1.12649	-1.67724	7.3426	0.0345312	7.35	0.0500011	-1.81648	-0.90823
7.39951	-0.0600766	1.12649	-1.67724	7.20598	0.00492725	7.2	9.49949e-07	-2.72851	-0.909507
7.04702	-0.0516311	1.43179	-0.401304	7.05406	-0.0533413	7.05	-0.0499992	-2.72849	-0.909499
7.12574	-0.0736932	1.43179	-0.401304	6.74585	-0.143185	6.95	-0.15	-1.81898	-1.81898
6.84425	-0.261263	1.31941	-2.43104	6.84972	-0.258748	6.85	-0.25	-1.81896	-1.81897
6.91019	-0.382769	1.31941	-2.43104	6.66966	-0.346668	6.75	-0.349999	-2.00076	-2.00075
6.63645	-0.461747	1.87059	-1.82529	6.64329	-0.462604	6.65	-0.449999	-2.00076	-2.00075
6.73009	-0.553117	1.87059	-1.82529	6.60862	-0.557035	6.6	-0.549999	-0.998836	-1.99769
6.55594	-0.650997	1.69769	-1.91234	6.56029	-0.650892	6.55	-0.65	-0.99884	-1.99769
6.64935	-0.756216	1.69769	-1.91234	6.40696	-0.842921	6.5	-0.85	-0.908747	-3.63498
6.45394	-1.05544	1.44657	-4.25514	6.45805	-1.05268	6.45	-1.05	-0.908739	-3.63494
6.53346	-1.28937	1.44657	-4.25514	6.38626	-1.15695	6.35	-1.15	-1.81897	-1.81898
6.24904	-1.24553	1.57815	-0.77478	6.25499	-1.25007	6.25	-1.25	-1.81896	-1.81896
6.33578	-1.28811	1.57815	-0.77478	6.43125	-1.48148	6.3	-1.45	0.909739	-3.63894
6.36235	-1.66168	1.56894	-4.8557	6.36328	-1.65656	6.35	-1.65	0.909727	-3.63891
6.44084	-1.90459	1.56894	-4.8557	6.3228	-1.81431	6.3	-1.8	-0.999494	-2.9985
6.24086	-1.94675	1.98912	-2.00789	6.24641	-1.95075	6.25	-1.95	-0.999489	-2.99847
6.34032	-2.04715	1.98912	-2.00789	6.31851	-2.10969	6.3	-2.1	0.999984	-2.99994
6.34489	-2.2398	1.93438	-3.24575	6.34644	-2.23829	6.35	-2.25	0.999979	-2.99994
6.45132	-2.41839	1.93438	-3.24575	6.32593	-2.40018	6.35	-2.4	0	-2.72613
6.34627	-2.5511	1.74263	-2.6923	6.34927	-2.55175	6.35	-2.55	0	-2.72611
6.44207	-2.69911	1.74263	-2.6923	6.43125	-2.71878	6.4	-2.7	0.909499	-2.72851
6.43082	-2.84237	1.78326	-2.6328	6.43257	-2.84245	6.45	-2.85	0.909503	-2.72851
6.52005	-2.97412	1.78326	-2.6328	6.46536	-3.00452	6.45	-3	0	-2.99754
